,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
355,20,3,4.653960350157523,9.328034514792826,1,2,3,1,1,0,0,14,2,1,3,3,6,5,1995,1995,0,0,10,10,1,0.0,2,2,4,3,4,1,4,334,1,544,322,1200,2,4,1,3,7.090076835776092,0,0,7.090076835776092,1,0,2,0,3,1,2,6,4,0,1,4,1995.0,2,2,521,2,3,2,0,26,0,0,0,0,0,4,2,0,8,2007,2,3,12.086725887897607
356,20,3,,9.13216259091216,1,2,1,1,1,0,0,13,2,1,3,3,6,6,1992,1992,0,0,6,5,2,106.0,1,3,4,3,3,1,6,560,5,0,598,1158,2,3,1,3,7.062191632286556,0,0,7.062191632286556,1,0,2,0,3,1,2,6,4,0,1,4,1992.0,2,2,400,2,3,2,120,26,0,0,0,0,0,4,2,0,7,2009,2,3,12.061046873479915
357,120,1,3.784189633918261,8.348537825386098,1,2,0,1,1,0,0,1,2,1,4,3,5,5,1976,1976,0,0,9,9,1,0.0,1,3,4,3,3,1,4,874,5,0,268,1142,2,2,1,3,7.040536390215956,0,0,7.040536390215956,1,0,1,1,3,1,1,6,4,1,0,4,1976.0,3,2,528,2,3,2,536,90,0,0,0,0,0,2,2,0,8,2007,2,3,11.805595078933049
358,80,3,4.5217885770490405,8.84361509218395,1,2,1,1,1,0,0,17,2,1,3,4,5,4,1958,1958,2,0,2,6,2,120.0,1,3,2,2,3,3,2,300,2,294,468,1062,2,4,1,1,7.20934025660291,0,0,7.20934025660291,0,1,1,0,3,1,2,6,1,0,1,5,1958.0,1,1,288,2,3,2,168,0,294,0,0,0,0,4,2,0,7,2006,2,0,11.77528972943772
359,60,3,4.356708826689592,9.39357817555449,1,2,1,1,1,4,0,22,2,1,3,5,8,5,1998,1998,0,0,10,10,2,530.0,2,3,4,3,3,3,6,956,5,0,130,1086,2,4,1,3,6.990256500493881,838,0,7.562161631225652,1,0,2,1,3,1,2,7,4,1,3,4,1998.0,2,2,592,2,3,2,208,75,0,0,374,0,0,4,2,0,6,2006,2,3,12.542544882151386
360,85,3,,8.927977461002001,1,2,1,1,1,4,0,9,2,1,3,0,6,6,1978,1978,0,0,10,10,1,0.0,1,3,2,3,3,3,6,773,5,0,115,888,2,4,1,3,6.815639990074331,0,0,6.815639990074331,1,0,1,0,2,1,1,5,4,1,3,4,1978.0,2,2,470,2,3,2,0,0,0,0,192,0,0,2,2,0,6,2007,2,3,11.957611286231675
361,50,3,,9.120853205474647,1,1,0,1,1,0,0,3,2,1,3,1,5,5,1940,1982,0,0,4,3,1,0.0,1,3,2,2,3,1,1,399,5,0,484,883,2,3,1,3,6.895682697747868,517,0,7.316548177182976,1,0,1,0,3,1,1,8,4,0,1,2,1940.0,1,1,240,2,3,0,0,0,0,0,0,0,0,4,2,0,7,2008,2,3,11.884489021402711
362,85,3,4.1588830833596715,8.895766604056085,1,2,0,1,1,1,0,5,2,1,3,0,7,5,2003,2003,0,0,6,5,2,500.0,2,3,0,0,1,0,0,0,0,0,0,0,2,4,1,3,6.20455776256869,1427,0,7.561121589530238,0,0,3,0,4,1,2,7,4,1,5,5,2003.0,2,2,672,2,3,2,0,0,177,0,0,0,0,4,2,0,7,2009,1,3,12.198544379109382
363,160,1,3.044522437723423,7.426549072397305,1,2,0,1,1,0,0,2,2,1,1,5,6,8,1972,2007,0,0,6,5,2,510.0,1,3,2,2,3,1,4,162,5,0,321,483,2,3,1,3,6.180016653652572,504,0,6.894670039433482,0,0,1,1,2,1,2,5,4,0,1,2,1972.0,1,1,264,2,3,2,250,0,0,0,0,0,0,4,2,0,5,2009,2,3,11.678439903447801
364,60,3,,9.84161214881804,1,2,1,1,1,2,0,12,2,1,3,5,6,5,1976,1976,0,0,6,5,2,120.0,1,3,4,3,3,2,6,712,5,0,84,796,2,2,1,3,6.672032945461067,784,0,7.3613754289773485,1,0,2,1,3,1,1,6,4,1,3,4,1976.0,3,2,566,2,3,2,306,111,0,0,0,0,0,4,2,0,7,2006,2,3,12.154779351142624
365,70,1,4.07753744390572,9.27706400401909,1,2,0,1,1,0,0,0,2,1,3,5,5,7,1920,1997,2,0,10,10,1,0.0,1,2,2,2,2,1,1,456,5,0,216,672,2,3,1,2,6.51025834052315,672,0,7.203405521083095,0,0,1,0,3,1,1,6,4,0,1,2,1964.0,1,1,468,2,1,2,0,128,218,0,0,0,0,4,2,0,7,2009,2,3,11.898187865760873
366,20,3,,9.159047077588632,1,2,1,1,1,0,0,8,2,1,3,3,6,5,1963,1963,0,0,7,7,2,247.0,1,3,2,3,3,1,2,609,5,0,785,1394,2,3,1,3,7.2399325913204695,0,0,7.2399325913204695,1,0,1,1,3,1,1,6,4,2,4,4,1963.0,2,2,514,2,3,2,0,76,0,0,185,0,0,4,2,0,7,2009,2,3,11.976659481202368
367,80,3,4.61512051684126,9.121509158269568,1,2,1,1,1,1,0,8,2,1,3,4,6,5,1962,1962,0,1,7,7,2,305.0,1,3,2,3,3,4,6,371,5,0,728,1099,2,3,1,3,7.266128779556451,0,0,7.266128779556451,0,1,1,0,3,1,1,6,4,1,4,3,1962.0,2,1,296,2,3,2,64,110,0,0,0,0,0,4,2,0,12,2008,2,3,12.013700752882718
368,20,3,4.356708826689592,8.961879012677683,1,2,0,1,1,0,0,8,2,1,3,3,5,6,1954,1954,0,0,6,5,2,200.0,1,3,4,2,3,1,3,540,5,0,728,1268,2,3,1,3,7.145196134997171,0,0,7.145196134997171,0,0,1,0,2,1,1,7,4,1,4,4,1954.0,3,1,244,2,3,2,0,98,0,0,0,0,0,4,2,0,3,2010,2,3,11.790557201568507
369,20,3,,9.193194213141211,1,2,1,1,1,1,0,8,2,1,3,3,5,7,1959,2006,0,0,2,1,1,0.0,1,2,2,2,3,1,4,72,2,258,733,1063,2,4,1,3,7.160069207596127,0,0,7.160069207596127,1,0,1,0,3,1,2,7,4,1,4,2,1997.0,3,2,576,2,3,2,364,17,0,0,182,0,0,4,2,0,3,2010,2,3,11.99535161421452
370,60,3,,9.002208578282412,1,2,1,1,1,0,0,13,2,1,3,5,6,5,2000,2000,0,0,10,10,1,0.0,1,3,4,3,3,1,5,0,5,0,953,953,2,4,1,3,6.859614903654202,711,0,7.416979621381154,0,0,2,1,3,1,1,7,4,1,3,4,2000.0,2,2,460,2,3,2,100,40,0,0,0,0,0,4,2,0,1,2006,2,3,12.05757263721173
371,50,3,4.382026634673881,9.748002649695733,1,2,0,1,1,0,0,17,1,1,3,1,4,4,1959,1959,0,0,3,7,1,0.0,1,3,2,0,1,0,0,0,0,0,0,0,2,2,1,3,7.02108396428914,468,0,7.370230641807081,0,0,2,0,4,1,1,7,1,1,4,2,1991.0,3,2,680,2,3,0,0,59,0,0,0,0,0,4,2,0,7,2008,2,3,11.808813773969108
372,120,3,3.912023005428146,8.878358040627822,1,2,0,1,1,0,0,10,2,1,4,3,6,5,1984,1984,0,0,7,7,1,0.0,1,3,2,3,3,1,4,623,3,121,0,744,2,2,1,3,6.62273632394984,0,0,6.62273632394984,1,0,1,0,2,1,1,4,4,0,1,4,1984.0,1,1,264,2,3,2,353,0,0,0,90,0,0,2,2,0,2,2010,2,3,11.736069016284437
373,20,3,4.3694478524670215,9.271811694064283,1,2,0,1,1,0,0,8,2,1,3,3,5,6,1953,1953,0,0,4,3,1,0.0,1,3,4,2,3,1,2,428,3,180,0,608,2,2,1,3,7.1846291527173145,0,0,7.1846291527173145,1,0,1,0,3,1,1,5,1,0,1,4,1953.0,1,1,270,2,3,2,66,0,0,0,0,0,0,0,2,0,11,2009,2,3,11.719939634354555
374,60,3,4.174387269895637,9.011889433252344,1,2,0,1,1,0,0,14,2,1,3,5,7,5,2003,2004,0,0,10,10,1,0.0,2,3,4,3,3,1,5,0,5,0,847,847,2,4,1,3,6.741700694652055,1081,0,7.564238475170491,0,0,2,1,4,1,2,8,4,1,4,5,2003.0,3,2,434,2,3,2,100,48,0,0,0,0,0,4,2,0,7,2007,2,3,12.299107511497363
375,30,3,,9.212338374638856,1,2,1,2,1,0,2,5,2,1,3,3,1,1,1922,1950,0,0,2,1,1,0.0,0,0,1,1,0,4,2,350,5,0,333,683,2,3,0,2,6.806829360392176,0,0,6.806829360392176,1,0,0,1,1,1,0,4,0,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,3,2009,2,3,11.018629143155449
376,85,3,4.04305126783455,9.087720658428273,1,2,1,1,1,4,0,14,2,1,3,0,5,5,1996,1996,0,0,10,10,1,0.0,2,3,4,3,3,3,6,298,5,0,572,870,2,4,1,3,6.81783057145415,0,0,6.81783057145415,0,0,1,0,2,1,1,5,4,0,1,2,1998.0,1,2,576,2,3,2,0,0,0,0,0,0,0,4,2,0,7,2006,2,3,11.904967552746252
377,60,4,4.624972813284271,9.318566777047053,1,2,1,1,1,1,0,18,2,1,3,5,8,5,2004,2005,0,0,9,9,1,0.0,2,3,4,3,3,1,5,0,5,0,1580,1580,2,4,1,3,7.365180126021013,886,0,7.81035268372429,0,0,3,0,4,1,2,8,4,1,4,4,2004.0,2,2,610,2,3,2,159,214,0,0,0,0,0,4,2,0,12,2007,2,3,12.736700896592344
378,20,3,4.477336814478207,9.34084218004034,1,2,0,1,1,1,0,20,2,1,3,3,9,2,2010,2010,2,0,10,10,3,350.0,2,3,4,4,3,3,6,1445,5,0,411,1856,2,4,1,3,7.526178913346146,0,0,7.526178913346146,1,0,1,1,1,1,3,8,4,1,5,4,2010.0,3,3,834,2,3,2,113,0,0,0,0,0,0,4,2,0,6,2010,3,4,12.885202034321916
379,60,3,4.0943445622221,9.002454823050954,1,2,1,1,1,0,0,13,4,1,3,5,6,5,2000,2000,0,0,10,10,2,16.0,1,3,4,3,3,1,5,0,5,0,982,982,2,4,1,3,6.914730892718563,793,0,7.495541943884256,0,0,2,1,3,1,1,7,4,1,3,4,2000.0,3,2,463,2,3,2,100,63,0,0,0,0,0,4,2,0,6,2009,2,3,12.095141084822892
380,50,3,3.912023005428146,8.517193191416238,1,1,0,1,1,0,0,7,2,1,3,1,5,6,1924,1950,0,0,8,1,1,0.0,1,3,1,2,3,1,3,218,5,0,808,1026,2,2,1,3,6.933423025730715,665,0,7.43307534889858,0,0,2,0,3,1,2,6,4,1,4,2,1924.0,1,1,308,2,3,2,0,0,242,0,0,0,0,4,2,0,5,2010,2,3,11.751942365440728
381,20,4,4.0943445622221,8.881836305004146,1,1,0,1,1,0,0,18,2,1,3,3,7,5,2006,2006,0,0,10,10,1,0.0,2,3,4,3,4,1,5,0,5,0,1293,1293,2,4,1,3,7.170888478512505,0,0,7.170888478512505,1,0,2,0,2,1,2,5,4,1,4,4,2006.0,2,2,572,2,3,2,216,121,0,0,0,0,0,4,2,0,8,2006,3,4,12.142866569626381
382,60,3,4.3694478524670215,9.131838143821225,1,2,1,1,1,0,0,14,2,1,3,5,7,5,2006,2006,0,0,10,10,1,0.0,2,3,4,3,3,3,5,0,5,0,939,939,2,4,1,3,6.844815479208263,858,0,7.493873886783559,0,0,2,1,3,1,2,8,4,0,1,4,2006.0,2,2,639,2,3,2,144,53,0,0,0,0,0,4,2,0,4,2007,2,3,12.271392111650817
383,45,2,4.0943445622221,9.104979856318357,1,2,0,1,1,1,0,10,2,1,3,2,6,3,1928,1950,0,0,2,1,1,0.0,1,3,1,1,2,1,5,0,5,0,784,784,2,2,0,2,6.664409020350408,0,0,6.664409020350408,0,0,1,0,2,1,1,5,4,0,1,2,1950.0,1,2,360,1,1,0,0,0,91,0,0,0,0,4,2,0,10,2009,2,3,11.238488619268468
384,60,3,,10.880064025283644,1,2,3,2,1,1,1,17,1,1,3,5,6,5,1992,1992,0,0,6,5,1,0.0,2,3,4,3,3,3,6,985,5,0,595,1580,2,4,1,3,6.983789965258135,874,0,7.577121930876679,1,0,2,1,3,1,2,9,4,2,2,4,1992.0,3,2,501,2,3,2,216,231,0,0,0,0,0,4,2,0,6,2007,2,3,12.388394202324129
385,120,3,3.7612001156935624,8.065265208897733,1,2,0,1,1,0,0,15,2,1,4,3,8,5,2004,2005,0,0,10,10,2,16.0,2,3,4,3,3,1,6,24,5,0,1232,1256,2,4,1,3,7.1459844677143876,0,0,7.1459844677143876,0,0,2,0,2,1,2,6,4,1,3,4,2004.0,3,2,430,2,3,2,146,20,0,0,144,0,0,4,2,0,4,2010,2,3,12.165250651009918
386,50,3,4.060443010546419,9.037176752966994,1,2,0,1,1,2,0,5,1,1,3,1,5,3,1910,1996,1,0,2,10,1,0.0,1,0,4,2,3,1,5,0,5,0,658,658,2,2,1,3,6.489204931325317,526,0,7.076653815443951,0,0,1,0,5,1,1,8,4,0,1,0,,0,0,0,0,0,0,0,151,0,0,0,0,0,4,2,0,5,2006,2,1,11.302204433654575
387,80,3,4.276666119016055,8.881836305004146,1,2,0,1,1,0,0,5,2,1,3,4,6,6,1976,1976,2,0,4,3,2,255.0,1,3,2,2,3,3,4,631,5,0,410,1041,2,4,1,3,7.025538314638521,0,0,7.025538314638521,1,0,1,0,3,1,1,6,4,1,2,2,1977.0,1,1,352,2,3,2,296,0,0,0,0,0,0,0,2,0,10,2009,2,0,11.736069016284437
388,20,3,4.532599493153256,9.146548238888403,1,2,1,1,1,4,0,14,2,1,3,3,7,5,1999,2000,0,0,10,10,2,125.0,2,3,4,3,3,1,5,0,5,0,1468,1468,2,4,1,3,7.2991214627108,0,0,7.2991214627108,0,0,2,0,3,1,2,6,4,0,1,4,1999.0,2,2,577,2,3,2,120,25,0,0,0,0,0,4,2,0,7,2008,2,3,12.160028707028767
389,60,3,4.564348191467836,9.431401757086068,1,2,0,1,1,0,0,21,2,1,3,5,10,5,2007,2008,0,0,10,10,3,272.0,3,3,4,4,3,3,6,1280,5,0,402,1682,2,4,1,3,7.462789157412448,590,0,7.754481547470383,1,0,2,1,3,1,3,9,4,1,5,5,2008.0,3,3,846,2,3,2,196,134,0,0,0,0,0,4,2,0,8,2008,3,4,12.962194625251508
390,50,3,3.912023005428146,9.036582045842716,1,0,0,1,1,0,0,5,2,1,3,1,5,8,1900,1950,0,0,4,3,1,0.0,1,3,1,2,4,1,1,241,1,391,229,861,2,4,1,3,6.8679744089702925,406,0,7.220373836723949,1,0,1,0,4,1,1,7,4,0,1,2,1978.0,1,1,384,2,3,2,0,130,112,0,0,0,0,2,2,0,4,2008,2,3,11.686878772093667
391,60,3,4.2626798770413155,9.409928663668856,1,2,1,1,1,4,0,9,2,1,3,5,6,5,2001,2002,0,0,10,10,1,0.0,1,3,4,4,3,1,4,690,5,0,114,804,2,4,1,3,6.6895992691789665,1157,0,7.581209826196346,1,0,2,1,3,1,2,7,4,1,3,5,2001.0,3,2,560,2,3,2,125,192,0,0,0,0,0,4,2,0,6,2009,2,3,12.2783933071098
392,20,3,,9.028698584086985,1,2,1,1,1,0,0,8,2,1,3,3,5,7,1959,1959,0,0,4,3,1,0.0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,3,6.782192056006791,0,0,6.782192056006791,0,0,1,0,3,1,1,5,4,0,1,4,1959.0,2,1,294,2,3,2,0,0,0,0,0,0,0,2,1,1200,7,2007,2,3,11.575900264131617
393,30,3,,8.915432254432663,1,2,0,1,1,1,0,3,1,1,3,3,4,5,1941,1950,0,0,3,4,1,0.0,1,3,2,2,3,1,1,266,5,0,522,788,2,2,1,2,6.669498089857879,0,0,6.669498089857879,0,0,1,0,2,1,1,4,4,2,3,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,2006,2,0,11.512925464970229
394,50,3,4.0943445622221,9.223651386035854,1,2,0,1,1,0,0,4,2,1,3,1,5,6,1940,1950,0,0,4,3,1,0.0,1,3,2,2,3,1,5,0,5,0,735,735,2,3,1,2,6.5998704992128365,299,0,6.9411900550683745,0,0,1,0,2,1,1,5,4,0,1,2,1940.0,1,1,240,2,3,2,0,39,0,0,0,0,0,4,2,0,7,2007,2,3,11.59910316121128
395,20,3,4.219507705176107,9.166492972195906,1,2,0,1,1,0,0,5,2,1,3,3,5,6,1956,1956,0,0,2,1,1,0.0,1,3,2,2,3,3,2,739,5,0,405,1144,2,2,1,3,7.042286171939743,0,0,7.042286171939743,1,0,1,0,3,1,1,6,4,0,1,4,1956.0,1,1,596,2,3,2,44,0,0,0,0,0,0,4,2,0,6,2010,2,3,11.76756768334381
396,20,3,4.0943445622221,8.881836305004146,1,2,0,2,1,0,0,14,2,1,3,3,5,5,1972,1972,2,0,4,3,1,0.0,1,3,2,2,3,3,1,777,5,0,117,894,2,2,1,3,6.795705775173514,0,0,6.795705775173514,0,0,1,0,2,1,1,6,4,0,1,2,1985.0,2,2,600,2,3,2,215,0,0,0,0,0,0,4,2,0,9,2009,2,3,11.719939634354555
397,60,3,4.23410650459726,8.934586870389676,1,2,0,1,1,0,0,8,5,1,3,5,5,5,1962,1962,0,0,10,10,2,288.0,1,3,2,2,3,1,4,540,5,0,324,864,2,2,1,3,6.775366090936392,936,0,7.502186486602924,0,0,2,0,4,1,1,8,4,1,3,4,1962.0,2,1,264,2,3,2,0,168,0,0,0,0,0,4,2,0,7,2007,2,3,12.040608205802641
398,30,1,4.0943445622221,9.101306450952048,1,2,0,1,1,1,0,0,2,1,3,3,5,2,1920,1950,0,0,4,3,1,0.0,1,0,1,1,0,1,5,0,5,0,961,961,2,3,1,0,6.981934677156389,0,0,6.981934677156389,0,0,1,0,2,1,1,6,0,0,1,2,1920.0,1,1,338,3,2,0,0,0,0,0,0,0,0,4,2,0,11,2007,2,0,11.112447898373103
399,60,4,4.174387269895637,9.002701007197938,1,2,0,1,1,0,0,18,2,1,3,5,7,5,2006,2007,0,0,9,9,3,100.0,2,3,4,3,3,1,6,812,5,0,280,1092,2,4,1,3,7.013915474810528,438,0,7.346010209913293,1,0,2,0,2,1,2,7,4,0,1,4,2007.0,3,2,438,2,3,2,0,168,0,0,0,0,0,4,2,0,10,2009,2,3,12.392552212472792
400,120,3,3.6375861597263857,9.61333576618342,1,2,3,1,1,0,0,11,2,1,4,3,8,5,1996,1996,0,0,8,8,1,0.0,2,3,4,3,3,1,6,786,5,0,474,1260,2,4,1,3,7.160845906664299,0,0,7.160845906664299,1,0,1,1,1,1,3,4,4,2,4,4,1996.0,3,2,500,2,3,2,120,30,0,0,224,0,0,4,2,0,12,2008,2,3,12.411052226216713
401,20,3,4.174387269895637,9.078749951588586,1,2,1,1,1,0,0,14,2,1,3,3,7,5,2005,2005,0,0,10,10,1,0.0,2,3,4,3,3,3,6,24,5,0,1286,1310,2,4,1,3,7.177782416195197,0,0,7.177782416195197,0,0,2,0,3,1,2,6,4,1,4,4,2005.0,3,2,400,2,3,2,0,0,0,0,0,0,0,4,2,0,7,2006,3,4,12.01364014498549
402,30,3,4.0943445622221,9.230142999272362,1,2,0,1,1,0,0,6,2,1,3,3,5,8,1940,1997,0,0,2,1,1,0.0,1,3,4,2,3,1,5,0,5,0,672,672,2,4,1,3,6.51025834052315,0,0,6.51025834052315,0,0,1,0,2,1,1,4,4,0,1,2,1940.0,1,1,240,2,3,0,168,0,0,0,0,0,0,3,2,0,8,2008,2,3,11.589886506106357
403,60,3,4.532599493153256,9.400133943608838,1,2,0,1,1,1,0,22,2,1,3,5,8,5,1998,1998,2,0,10,10,2,650.0,2,3,4,3,3,1,5,0,5,0,1141,1141,2,3,1,3,7.060476365999801,1098,0,7.724446645633537,0,0,2,1,4,1,2,10,4,1,3,5,1998.0,3,2,420,2,3,2,144,123,0,0,0,0,0,4,2,0,7,2006,2,0,12.460714863903755
404,60,3,,9.246093541682,1,2,1,1,1,0,0,13,2,1,3,5,6,5,1995,1996,0,0,4,3,1,0.0,1,3,4,3,3,1,5,0,5,0,806,806,2,3,1,3,6.692083742506628,766,0,7.360103972989152,0,0,2,1,3,1,1,7,4,1,3,5,1995.0,3,2,373,2,3,2,0,40,0,0,0,0,0,4,2,0,5,2007,2,3,12.031719258385396
405,20,3,,9.209439966733019,1,2,1,1,1,1,0,6,1,1,3,3,4,4,1976,1993,0,0,7,7,1,0.0,1,3,2,2,3,1,2,1116,5,0,165,1281,2,4,1,3,7.3901814282264295,0,0,7.3901814282264295,1,0,2,0,3,1,1,8,3,1,3,4,1993.0,1,2,490,2,3,2,120,78,0,0,0,0,0,0,2,0,6,2009,2,3,11.918390573078392
406,50,3,3.9318256327243257,9.257223957875032,1,2,0,1,1,0,0,7,2,1,3,1,6,5,1936,1950,0,0,4,3,1,0.0,1,3,1,2,3,1,5,0,5,0,1064,1064,2,4,1,2,7.061334366910438,0,473,7.40184157874383,0,0,1,0,3,1,1,6,0,0,1,2,1936.0,1,1,240,2,3,2,0,0,0,0,0,0,0,4,2,0,3,2008,2,3,11.652687407345388
407,70,3,4.143134726391533,9.653486547052035,1,2,0,1,1,0,0,16,2,1,3,5,6,7,1915,1976,0,0,2,7,1,0.0,1,3,1,3,3,1,5,0,5,0,840,840,2,4,1,3,6.733401891837359,840,0,7.426549072397305,0,0,2,0,4,1,1,8,4,0,1,4,1960.0,1,1,308,2,3,2,0,0,160,0,0,0,0,4,2,0,3,2008,2,3,12.083905011555967
408,60,3,4.6913478822291435,9.55775254863573,1,2,0,1,1,1,0,21,2,1,3,5,7,5,2006,2006,0,0,10,10,2,350.0,2,3,4,4,4,1,5,0,5,0,1063,1063,2,4,1,3,6.976348070447749,1101,0,7.683403681053826,0,0,2,1,3,1,2,9,4,1,4,4,2006.0,2,3,947,2,3,2,192,62,0,0,0,0,0,4,2,0,8,2007,3,4,12.542544882151386
409,60,4,4.442651256490317,9.287301413112312,1,2,0,1,1,0,0,18,2,1,3,5,8,5,2007,2008,0,0,10,10,3,100.0,2,3,4,4,3,1,6,789,5,0,245,1034,2,4,1,3,6.956545443151569,1028,0,7.639161171659173,1,0,2,1,3,1,3,8,4,1,4,4,2008.0,3,3,836,2,3,2,0,102,0,0,0,0,0,4,2,0,4,2008,3,4,12.73596533201339
410,20,3,4.219507705176107,9.166492972195906,1,2,0,1,1,0,0,5,2,1,3,3,5,3,1958,1958,0,0,1,6,1,0.0,1,0,2,2,2,1,5,0,5,0,1276,1276,2,2,1,2,7.151485463904735,0,0,7.151485463904735,0,0,1,0,3,1,1,5,2,0,1,4,1958.0,1,1,350,2,3,2,0,0,0,0,0,0,0,4,2,0,6,2009,0,0,11.002099841204238
411,190,3,4.605170185988092,10.453053004618049,1,2,0,0,1,0,0,13,2,1,0,3,5,5,1955,1955,2,0,2,1,1,0.0,1,3,2,2,3,2,1,1056,5,0,0,1056,2,2,0,3,6.962243464266207,0,0,6.962243464266207,1,0,1,0,3,1,1,5,4,0,1,4,1955.0,3,2,572,2,3,2,264,0,0,0,0,0,0,4,2,0,1,2006,2,3,11.884489021402711
412,20,4,,8.390041405755754,1,2,3,1,1,0,0,18,2,1,3,3,7,5,2009,2009,0,0,4,3,3,432.0,3,3,4,4,3,3,6,578,5,0,892,1470,2,4,1,3,7.298445101508147,0,0,7.298445101508147,1,0,2,1,2,1,2,7,4,1,4,4,2009.0,3,2,484,2,3,2,0,144,0,0,0,0,0,4,2,0,6,2010,3,4,12.310432660854417
413,30,1,4.02535169073515,9.100525505968976,1,0,0,1,1,0,0,4,0,1,3,3,5,6,1927,1950,0,0,3,4,1,0.0,1,3,2,2,3,1,5,0,5,0,1008,1008,2,3,1,2,6.93537044601511,0,0,6.93537044601511,0,0,1,0,2,1,1,5,4,1,4,2,1927.0,1,2,360,2,3,2,0,0,130,0,0,0,0,4,2,0,3,2010,2,3,11.652687407345388
414,60,3,4.07753744390572,9.326165937481774,1,2,3,1,1,4,0,10,2,1,3,5,7,5,1993,1993,0,0,10,10,1,0.0,2,3,4,3,3,1,2,50,4,531,499,1080,2,4,1,3,6.984716320118266,1017,0,7.64826303090192,0,1,2,1,3,1,2,9,4,1,3,4,1993.0,1,3,678,2,3,2,196,187,0,0,0,0,0,4,2,0,12,2008,2,3,12.337100907936577
415,20,3,4.290459441148391,9.093694189856862,1,2,1,1,1,0,0,13,2,1,3,3,7,5,2007,2007,0,0,10,10,1,0.0,2,3,4,3,3,3,6,24,5,0,1316,1340,2,4,1,3,7.200424892944957,0,0,7.200424892944957,0,0,2,0,3,1,2,6,4,0,1,4,2007.0,3,2,396,2,3,2,100,30,0,0,0,0,0,4,2,0,8,2007,3,4,12.106992367829498
416,60,3,4.30406509320417,8.967504187316237,1,2,0,1,1,0,0,6,2,1,3,5,6,7,1978,1978,2,0,6,5,2,203.0,1,3,2,2,3,1,4,209,5,0,463,672,2,2,1,3,6.51025834052315,728,0,7.24422751560335,0,0,1,1,3,1,1,6,4,1,3,4,1978.0,3,2,440,2,3,2,0,0,0,0,0,0,0,4,2,0,3,2006,2,3,11.915051671812877
417,70,3,4.454347296253507,10.017708696626151,1,2,1,1,1,0,0,16,1,1,3,5,6,6,1918,1950,2,0,2,2,1,0.0,1,3,1,3,3,1,2,1128,5,0,242,1370,1,2,0,2,7.222566018822171,1254,0,7.8724551500639794,1,0,2,1,4,1,1,10,4,1,4,2,1918.0,1,3,864,2,3,0,0,0,0,0,0,0,0,4,2,0,11,2007,2,3,12.384218830913648
418,50,3,4.0943445622221,9.006999447958153,1,2,0,1,1,0,0,5,2,1,3,1,5,6,1940,1950,0,0,4,3,1,0.0,1,3,1,2,3,1,4,312,5,0,444,756,2,1,0,1,6.628041376179533,378,0,7.033506484287697,1,0,1,1,3,1,1,7,4,0,1,2,1940.0,1,1,240,2,3,1,0,0,0,0,0,0,0,4,2,0,4,2007,2,1,11.744037185933616
419,20,3,4.174387269895637,9.041921720351219,1,2,0,1,1,0,0,8,2,1,3,3,5,6,1968,1968,0,0,10,10,1,0.0,1,3,2,2,3,1,2,775,5,0,281,1056,2,4,1,3,6.962243464266207,0,0,6.962243464266207,1,0,1,0,3,1,1,6,4,1,2,4,1968.0,1,1,304,2,3,2,0,85,184,0,0,0,0,4,2,0,7,2010,2,3,11.863582336583399
420,90,1,4.356708826689592,8.862200330487287,1,2,0,1,1,0,0,9,2,1,2,0,7,5,1997,1998,0,0,10,10,2,200.0,1,2,4,3,4,4,6,1309,5,0,35,1344,2,4,1,3,7.203405521083095,0,0,7.203405521083095,2,0,2,0,2,2,1,8,4,0,1,4,1997.0,3,4,784,2,3,2,0,0,0,0,0,0,0,4,2,0,11,2008,2,1,12.237086699059343
421,20,3,,9.719264188452577,1,2,1,1,1,2,0,12,2,1,3,3,6,7,1977,2000,0,0,9,9,3,126.0,2,3,2,3,3,1,4,1246,5,0,356,1602,2,3,1,3,7.379008127628304,0,0,7.379008127628304,0,1,2,0,3,1,2,8,4,1,3,4,1977.0,3,2,529,2,3,2,240,0,0,0,0,0,0,4,2,0,6,2009,2,3,12.2783933071098
